onset	duration	trial_type	trial_phase	score	score_txt	stim_dot_position	targetxdat	latency	eptrno
15.0	3.0	vgs	prep	n/a	n/a	n/a	164	n/a	9
18.0	1.5	vgs	resp	1	CORRECT	426	164	0.25	9
19.5	1.5	neutral	cue	n/a	n/a	n/a	175	n/a	12
21.0	3.0	neutral	prep	n/a	n/a	n/a	175	n/a	12
24.0	1.5	neutral	resp	1	CORRECT	532	175	0.583	12
34.5	1.5	neutral	cue	n/a	n/a	n/a	174	n/a	19
36.0	3.0	neutral	prep	n/a	n/a	n/a	174	n/a	19
39.0	1.5	neutral	resp	0	INCORRECT	426	174	0.467	19
52.5	1.5	reward	cue	n/a	n/a	n/a	181	n/a	28
54.0	3.0	reward	prep	n/a	n/a	n/a	181	n/a	28
57.0	1.5	reward	resp	1	CORRECT	7	181	0.367	28
69.0	3.0	vgs	prep	n/a	n/a	n/a	161	n/a	35
72.0	1.5	vgs	resp	1	CORRECT	7	161	0.25	35
76.5	1.5	reward	cue	n/a	n/a	n/a	184	n/a	40
78.0	3.0	reward	prep	n/a	n/a	n/a	184	n/a	40
81.0	1.5	reward	resp	1	CORRECT	426	184	0.35	40
87.0	1.5	reward	cue	n/a	n/a	n/a	181	n/a	44
88.5	3.0	reward	prep	n/a	n/a	n/a	181	n/a	44
91.5	1.5	reward	resp	1	CORRECT	7	181	0.667	44
105.0	1.5	reward	cue	n/a	n/a	n/a	186	n/a	53
106.5	3.0	reward	prep	n/a	n/a	n/a	186	n/a	53
109.5	1.5	reward	resp	2	ERROR_CORRECTED	633	186	0.467	53
117.0	1.5	reward	cue	n/a	n/a	n/a	181	n/a	58
118.5	3.0	reward	prep	n/a	n/a	n/a	181	n/a	58
121.5	1.5	reward	resp	1	CORRECT	7	181	0.35	58
133.5	3.0	vgs	prep	n/a	n/a	n/a	163	n/a	65
136.5	1.5	vgs	resp	1	CORRECT	214	163	0.783	65
141.0	1.5	reward	cue	n/a	n/a	n/a	182	n/a	70
142.5	3.0	reward	prep	n/a	n/a	n/a	182	n/a	70
145.5	1.5	reward	resp	1	CORRECT	108	182	0.65	70
153.0	1.5	reward	cue	n/a	n/a	n/a	186	n/a	75
154.5	3.0	reward	prep	n/a	n/a	n/a	186	n/a	75
157.5	1.5	reward	resp	1	CORRECT	633	186	0.467	75
171.0	1.5	neutral	cue	n/a	n/a	n/a	171	n/a	84
172.5	3.0	neutral	prep	n/a	n/a	n/a	171	n/a	84
175.5	1.5	neutral	resp	1	CORRECT	7	171	0.683	84
187.5	1.5	neutral	cue	n/a	n/a	n/a	172	n/a	92
189.0	3.0	neutral	prep	n/a	n/a	n/a	172	n/a	92
192.0	1.5	neutral	resp	1	CORRECT	108	172	0.733	92
205.5	3.0	vgs	prep	n/a	n/a	n/a	165	n/a	100
208.5	1.5	vgs	resp	1	CORRECT	532	165	0.283	100
210.0	1.5	neutral	cue	n/a	n/a	n/a	176	n/a	103
211.5	3.0	neutral	prep	n/a	n/a	n/a	176	n/a	103
214.5	1.5	neutral	resp	2	ERROR_CORRECTED	633	176	0.317	103
220.5	1.5	neutral	cue	n/a	n/a	n/a	171	n/a	107
222.0	3.0	neutral	prep	n/a	n/a	n/a	171	n/a	107
225.0	1.5	neutral	resp	1	CORRECT	7	171	0.517	107
232.5	1.5	neutral	cue	n/a	n/a	n/a	175	n/a	112
234.0	3.0	neutral	prep	n/a	n/a	n/a	175	n/a	112
237.0	1.5	neutral	resp	1	CORRECT	532	175	0.5	112
250.5	1.5	neutral	cue	n/a	n/a	n/a	173	n/a	118
252.0	3.0	neutral	prep	n/a	n/a	n/a	173	n/a	118
255.0	1.5	neutral	resp	1	CORRECT	214	173	0.767	118
261.0	3.0	vgs	prep	n/a	n/a	n/a	162	n/a	121
264.0	1.5	vgs	resp	1	CORRECT	108	162	0.583	121
270.0	1.5	neutral	cue	n/a	n/a	n/a	176	n/a	127
271.5	3.0	neutral	prep	n/a	n/a	n/a	176	n/a	127
274.5	1.5	neutral	resp	1	CORRECT	633	176	0.433	127
286.5	1.5	reward	cue	n/a	n/a	n/a	185	n/a	135
288.0	3.0	reward	prep	n/a	n/a	n/a	185	n/a	135
291.0	1.5	reward	resp	-1	DROP	532	185	-0.001	135
297.0	1.5	reward	cue	n/a	n/a	n/a	183	n/a	139
298.5	3.0	reward	prep	n/a	n/a	n/a	183	n/a	139
301.5	1.5	reward	resp	2	ERROR_CORRECTED	214	183	0.2	139
309.0	1.5	reward	cue	n/a	n/a	n/a	182	n/a	144
310.5	3.0	reward	prep	n/a	n/a	n/a	182	n/a	144
313.5	1.5	reward	resp	1	CORRECT	108	182	0.433	144
