onset	duration	trial_type	trial_phase	score	score_txt	stim_dot_position	targetxdat	latency	eptrno
187.5	1.5	neutral	cue	n/a	n/a	n/a	172	n/a	92
189.0	3.0	neutral	prep	n/a	n/a	n/a	172	n/a	92
192.0	1.5	neutral	resp	0	INCORRECT	108	172	0.367	92
210.0	1.5	neutral	cue	n/a	n/a	n/a	176	n/a	103
211.5	3.0	neutral	prep	n/a	n/a	n/a	176	n/a	103
214.5	1.5	neutral	resp	-1	DROP	633	176	-0.001	103
220.5	1.5	neutral	cue	n/a	n/a	n/a	171	n/a	107
222.0	3.0	neutral	prep	n/a	n/a	n/a	171	n/a	107
225.0	1.5	neutral	resp	0	INCORRECT	7	171	0.417	107
232.5	1.5	neutral	cue	n/a	n/a	n/a	175	n/a	112
234.0	3.0	neutral	prep	n/a	n/a	n/a	175	n/a	112
237.0	1.5	neutral	resp	1	CORRECT	532	175	0.45	112
241.5	1.5	neutral	cue	n/a	n/a	n/a	172	n/a	115
243.0	3.0	neutral	prep	n/a	n/a	n/a	172	n/a	115
246.0	1.5	neutral	resp	-1	DROP	108	172	-0.001	115
270.0	1.5	neutral	cue	n/a	n/a	n/a	176	n/a	127
271.5	3.0	neutral	prep	n/a	n/a	n/a	176	n/a	127
274.5	1.5	neutral	resp	-1	DROP	633	176	-0.001	127
286.5	1.5	reward	cue	n/a	n/a	n/a	185	n/a	135
288.0	3.0	reward	prep	n/a	n/a	n/a	185	n/a	135
291.0	1.5	reward	resp	-1	DROP	532	185	-0.001	135
297.0	1.5	reward	cue	n/a	n/a	n/a	183	n/a	139
298.5	3.0	reward	prep	n/a	n/a	n/a	183	n/a	139
301.5	1.5	reward	resp	0	INCORRECT	214	183	0.4	139
