onset	duration	trial_type	trial_phase	score	score_txt	stim_dot_position	targetxdat	latency	eptrno
15.0	3.0	vgs	prep	n/a	n/a	n/a	164	n/a	9
18.0	1.5	vgs	resp	1	CORRECT	426	164	0.367	9
19.5	1.5	neutral	cue	n/a	n/a	n/a	175	n/a	12
21.0	3.0	neutral	prep	n/a	n/a	n/a	175	n/a	12
24.0	1.5	neutral	resp	1	CORRECT	532	175	0.367	12
34.5	1.5	neutral	cue	n/a	n/a	n/a	174	n/a	19
36.0	3.0	neutral	prep	n/a	n/a	n/a	174	n/a	19
39.0	1.5	neutral	resp	1	CORRECT	426	174	0.367	19
52.5	1.5	reward	cue	n/a	n/a	n/a	181	n/a	28
54.0	3.0	reward	prep	n/a	n/a	n/a	181	n/a	28
57.0	1.5	reward	resp	2	ERROR_CORRECTED	7	181	0.217	28
69.0	3.0	vgs	prep	n/a	n/a	n/a	161	n/a	35
72.0	1.5	vgs	resp	1	CORRECT	7	161	0.383	35
76.5	1.5	reward	cue	n/a	n/a	n/a	184	n/a	40
78.0	3.0	reward	prep	n/a	n/a	n/a	184	n/a	40
81.0	1.5	reward	resp	1	CORRECT	426	184	0.283	40
87.0	1.5	reward	cue	n/a	n/a	n/a	181	n/a	44
88.5	3.0	reward	prep	n/a	n/a	n/a	181	n/a	44
91.5	1.5	reward	resp	1	CORRECT	7	181	0.233	44
105.0	1.5	reward	cue	n/a	n/a	n/a	186	n/a	53
106.5	3.0	reward	prep	n/a	n/a	n/a	186	n/a	53
109.5	1.5	reward	resp	1	CORRECT	633	186	0.267	53
117.0	1.5	reward	cue	n/a	n/a	n/a	181	n/a	58
118.5	3.0	reward	prep	n/a	n/a	n/a	181	n/a	58
121.5	1.5	reward	resp	1	CORRECT	7	181	0.383	58
133.5	3.0	vgs	prep	n/a	n/a	n/a	163	n/a	65
136.5	1.5	vgs	resp	1	CORRECT	214	163	0.383	65
141.0	1.5	reward	cue	n/a	n/a	n/a	182	n/a	70
142.5	3.0	reward	prep	n/a	n/a	n/a	182	n/a	70
145.5	1.5	reward	resp	1	CORRECT	108	182	0.467	70
153.0	1.5	reward	cue	n/a	n/a	n/a	186	n/a	75
154.5	3.0	reward	prep	n/a	n/a	n/a	186	n/a	75
157.5	1.5	reward	resp	1	CORRECT	633	186	0.233	75
171.0	1.5	neutral	cue	n/a	n/a	n/a	171	n/a	84
172.5	3.0	neutral	prep	n/a	n/a	n/a	171	n/a	84
175.5	1.5	neutral	resp	1	CORRECT	7	171	0.533	84
187.5	1.5	neutral	cue	n/a	n/a	n/a	172	n/a	92
189.0	3.0	neutral	prep	n/a	n/a	n/a	172	n/a	92
192.0	1.5	neutral	resp	1	CORRECT	108	172	0.433	92
205.5	3.0	vgs	prep	n/a	n/a	n/a	165	n/a	100
208.5	1.5	vgs	resp	1	CORRECT	532	165	0.333	100
210.0	1.5	neutral	cue	n/a	n/a	n/a	176	n/a	103
211.5	3.0	neutral	prep	n/a	n/a	n/a	176	n/a	103
214.5	1.5	neutral	resp	1	CORRECT	633	176	0.367	103
220.5	1.5	neutral	cue	n/a	n/a	n/a	171	n/a	107
222.0	3.0	neutral	prep	n/a	n/a	n/a	171	n/a	107
225.0	1.5	neutral	resp	1	CORRECT	7	171	0.4	107
232.5	1.5	neutral	cue	n/a	n/a	n/a	175	n/a	112
234.0	3.0	neutral	prep	n/a	n/a	n/a	175	n/a	112
237.0	1.5	neutral	resp	0	INCORRECT	532	175	9.2	112
261.0	3.0	vgs	prep	n/a	n/a	n/a	162	n/a	121
264.0	1.5	vgs	resp	1	CORRECT	108	162	0.367	121
