onset	duration	trial_type	trial_phase	score	score_txt	stim_dot_position	targetxdat	latency	eptrno
15.0	3.0	vgs	prep	n/a	n/a	n/a	164	n/a	9
18.0	1.5	vgs	resp	1	CORRECT	426	164	0.317	9
19.5	1.5	neutral	cue	n/a	n/a	n/a	175	n/a	12
21.0	3.0	neutral	prep	n/a	n/a	n/a	175	n/a	12
24.0	1.5	neutral	resp	-1	DROP	532	175	-0.001	12
34.5	1.5	neutral	cue	n/a	n/a	n/a	174	n/a	19
36.0	3.0	neutral	prep	n/a	n/a	n/a	174	n/a	19
39.0	1.5	neutral	resp	1	CORRECT	426	174	0.517	19
52.5	1.5	reward	cue	n/a	n/a	n/a	181	n/a	28
54.0	3.0	reward	prep	n/a	n/a	n/a	181	n/a	28
57.0	1.5	reward	resp	1	CORRECT	7	181	0.367	28
69.0	3.0	vgs	prep	n/a	n/a	n/a	161	n/a	35
72.0	1.5	vgs	resp	-1	DROP	7	161	-0.001	35
76.5	1.5	reward	cue	n/a	n/a	n/a	184	n/a	40
78.0	3.0	reward	prep	n/a	n/a	n/a	184	n/a	40
81.0	1.5	reward	resp	-1	DROP	426	184	-0.001	40
133.5	3.0	vgs	prep	n/a	n/a	n/a	186	n/a	65
136.5	1.5	vgs	resp	-1	DROP	214	186	-0.001	65
187.5	1.5	neutral	cue	n/a	n/a	n/a	176	n/a	92
189.0	3.0	neutral	prep	n/a	n/a	n/a	176	n/a	92
192.0	1.5	neutral	resp	-1	DROP	108	176	-0.001	92
